geomaterial_id,mineral_IMA
687,Bismutite
688,Bismutocolumbite
689,Bityite
690,Red Beryl
691,Bixbyite-(Mn)
692,Bjarebyite
693,Blakeite
694,Blatterite
695,Blodite
696,Blixite
697,Blossite
698,Blue John
699,Blue Lace Agate
700,Bobfergusonite
701,Bobierrite
702,Bogdanovite
703,Boggildite
704,Boggsite
705,Bogvadite
706,Bohdanowiczite
707,Bohmite
709,Bokite
710,Bole
712,Boleite
713,Bolivarite
714,Bolivite
716,Boltwoodite
717,Bonaccordite
718,Bonattite
719,Bonshtedtite
720,Boothite
721,Boracite
722,Borax
723,Borcarite
725,Bornemanite
726,Bornhardtite
727,Bornite
728,Borodaevite
729,Boromuscovite
730,Borovskite
731,Bostwickite
732,Botallackite
733,Botryogen
734,Botryolite
735,Bottinoite
738,Boulangerite
739,Bourboulite
741,Bournonite
743,Boussingaultite
744,Bowenite
745,Bowieite
746,Boyleite
748,Bracewellite
749,Brackebuschite
750,Bradleyite
751,Braggite
752,Braitschite-(Ce)
753,Brandtite
754,Brannerite
755,Brannockite
756,Brassite
757,Braunite
758,Bravaisite
759,Bravoite
760,Brazilianite
761,Bredbergite
762,Bredigite
763,Breithauptite
764,Brenkite
765,Iron-bearing Magnesite
766,Brewsterite Subgroup
768,Brezinaite
769,Bruggenite
770,Thorian Uraninite
771,Brianite
772,Brianyoungite
773,Briartite
774,Brindleyite
775,Britholite-(Ce)
776,Britholite-(Y)
778,Brizziite
779,Brochantite
780,Brockite
782,Brokenhillite
783,Bromargyrite
784,Bromellite
785,Eta-bronze
787,Brookite
788,Brossite
789,Brostenite
790,Brownmillerite
791,Brugnatellite
792,Brunogeierite
793,Brushite
794,Buchwaldite
795,Buckhornite
796,Buddingtonite
797,Bukovite
798,Bukovskyite
799,Bulachite
800,Bultfonteinite
801,Bunsenite
802,Burangaite
803,Burbankite
804,Burckhardtite
805,Burkeite
806,Burpalite
807,Bursaite
808,Burtite
809,Bustamite
810,Butlerite
811,Buttgenbachite
812,Byelorussite-(Ce)
813,Bystrite
814,Bystromite
815,Bytownite
816,Brammallite
817,Benleonardite
818,Fluor-buergerite
819,Beryl
820,Brucite
821,Butschliite
822,Brandãosite
823,Ca-Huréaulite
825,Calciocelestine
826,Calciocopiapite
827,Calcioburbankite
828,Calciouranoite
829,Calcioaravaipaite
831,Calciohilairite
832,Calcioferrite
833,Calciogadolinite-(Y)
834,Calciotantite
835,Calciothorite
836,Magnesium-bearing Annabergite
837,Cabriite
839,Cacoclase
840,Cacoxenite
842,Cadmium
844,Cadmoselite
845,Cadwaladerite
846,Calciobetafite (of Mazzi & Munno)
847,Caesium-Biotite
849,Cafarsite
850,Cafetite
851,Cahnite
852,Calaverite
853,Calcareous Tufa
854,Calciborite
855,Calcioancylite-(Ce)
856,Calcioancylite-(Nd)
857,Calcio-biotite
858,Calcio-duftite
859,Calcite
860,Calciocatapleiite
861,Calcjarlite
863,Calcurmolite
864,Calderite
865,Caledonite
867,Calkinsite-(Ce)
868,Callaghanite
869,Calomel
870,Calumetite
871,Calzirtite
872,Camerolaite
873,Cameronite
874,Camgasite
875,Caminite
876,Campigliaite
877,Canaphite
878,Canasite
879,Canavesite
880,Cancrinite
881,Cancrisilite
882,Canfieldite
883,Cannizzarite
884,Cannonite
886,Capgaronnite
888,Capped Quartz
889,Cappelenite-(Y)
890,Caracolite
891,Carboborite
892,Carbocernaite
893,Carboirite
894,Carbonatecyanotrichite
895,Carbonate-rich Fluorapatite
896,Carbonate-rich Hydroxylapatite
897,Carbonate-Vishnevite
898,Carletonite
899,Carlfriesite
900,Carlhintzeite
901,Carlinite
902,Carlosruizite
903,Carlosturanite
904,Carlsbergite
905,Carminite
906,Carnallite
907,Carnotite
908,Carobbiite
909,Carpholite
910,Carrboydite
911,Carrollite
912,Caryinite
913,Caryopilite
914,Cascandite
915,Cassedanneite
916,Cassidyite
917,Cassiterite
918,Caswellsilverite
919,Catapleiite
920,Cattierite
921,Cavansite
922,Caysichite-(Y)
923,Cebaite-(Ce)
924,Cebollite
925,Cechite
926,Celadonite
927,Celestine
928,Celsian
929,Cerianite-(Ce)
930,Ceriopyrochlore (of Hogarth 1977)
931,Cerite-(CeCa)
933,Ceruleite
934,Cerussite
935,Cervandonite-(Ce)
936,Cervantite
937,Cervelleite
938,Cesanite
939,Cesarolite
940,Cesbronite
941,Cesplumtantite
943,Cetineite
945,Chalcosiderite
946,Chlorophoenicite
947,Chalcophanite
948,Chlorophane
949,Chalcomenite
950,Chloropal (of Schneiderhöhn)
951,Chlorophaeite
952,Chrysoprase
953,Chloroxiphite
954,Chalconatronite
955,Chalcopyrite
956,Chabazite
957,Chabourneite
958,Chaidamuite
959,Chalcanthite
960,Chalcedony
961,Chalcoalumite
962,Chalcocite
963,Chalcocyanite
964,Chalcolamprite
965,Chameanite
966,Chambersite
967,Chamosite
968,Changbaiite
969,Chantalite
970,Chapmanite
971,Charlesite
972,Charoite
973,Chatkalite
974,Chayesite
975,Chrysotile
977,Chalcotrichite
978,Chalcothallite
979,Chalcophyllite
981,Chlorophyllite
982,Chlorothionite
983,Chalcostibite
984,Chekhovichite
985,Chelkarite
986,Chenevixite
987,Chenite
988,Cheralite-(Ce)
989,Cheremnykhite
990,Cherepanovite
991,Chernikovite
992,Chernovite-(Y)
993,Chernykhite
995,Chervetite
996,Chessexite
997,Chesterite
998,Chestermanite
1000,Chlorosaphir
1001,Chiastolite
1002,Chiavennite
1003,Childrenite
1004,Chiluite
1006,Chiolite
1007,Chkalovite
1008,Chladniite
1010,Chlor-manasseite
1011,Chlor-spodiosite
1012,Chloraluminite
1013,Chlorapatite
1014,Chlorargyrite
1015,Chlorellestadite
1016,Chlorite Group
1017,Chloritoid
1018,Chlormagaluminite
1019,Chlormanganokalite
1020,Chlorocalcite
1022,Chloromagnesite
1023,Chloromelanite
1025,Chocolite
1026,Choloalite
1027,Chondrodite
1028,Chrisstanleyite
1029,Christite
1030,Chromatite
1031,Chromium-dravite
1032,Chrome-Cerussite
1033,Chromium-bearing Diopside
1034,Chrome-bearing Grossular
1035,Chromferide
1036,Chromite
1037,Chromium
1038,Chromohercynite
1039,Chrysoberyl
1040,Chrysocolla
1043,Chudobaite
1044,Chukhrovite-(Ce)
1045,Chukhrovite-(Y)
1046,Chukhrovite
1047,Churchite-(Y)
1048,Chursinite
1049,Chvaleticeite
1050,Chvilevaite
1051,Cianciulliite
1052,Cinnabar
1053,Cirrolite
1054,Citrine
1055,Clinoclase
1056,Clairite
1057,Claraite
1058,Claringbullite
1059,Clarkeite
1060,Claudetite
1061,Clausthalite
1062,Clay minerals
1064,Cliffordite
1065,Clinoatacamite
1066,Clinobehoite
1067,Clinobisvanite
1068,Clinochalcomenite
1070,Clinochlore
1071,Clinochrysotile
1072,Clinoenstatite
1073,Clinoferrosilite
1075,Clinohedrite
1077,Clinohumite
1078,Clinojimthompsonite
1079,Clinokurchatovite
1080,Mimetite-M
1081,Clinophosinaite
1082,Clinoptilolite Subgroup
1083,Clinosafflorite
1084,Clinotobermorite
1086,Clinoungemachite
1087,Clinozoisite
1088,Clintonite
1089,Cobalt-bearing Smithsonite
1091,Cobaltkoritnigite
1092,Cobaltomenite
1093,Cobaltite
